UID,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
2802,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
4899,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
5896,more than 30,none,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,1
6103,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
5349,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
15221,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
14398,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
14686,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
2879,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
14856,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
2234,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
5964,more than 30,none,4 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
5106,more than 30,1,more than 7,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
6366,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1995,Collision,0
9829,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
10410,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
4056,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
14745,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
506,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
11425,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9457,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
8449,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
7707,more than 30,1,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,0
6498,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
15270,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
6917,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
5925,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
142,more than 30,none,more than 7,41 to 50,No,No,Internal,3 to 5,no change,5 to 8,1994,Liability,0
3663,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
10415,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
1001,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1994,Liability,0
5168,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,0
15232,more than 30,1,3 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
9763,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
11195,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
10062,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
6194,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
14557,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
2987,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
9148,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
5680,more than 30,2 to 4,5 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
15118,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
3611,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
12048,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
10371,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
6865,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
9762,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,0
12271,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
3269,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
6109,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,3 to 4,1994,Collision,1
4902,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
8873,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,1
8718,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
12875,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
298,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
587,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
11840,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
13526,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
6841,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
9572,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
7127,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
7746,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
4524,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
6855,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
8499,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,0
13177,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
12269,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
2294,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
8255,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
8392,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
919,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
13360,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,1
4802,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
12110,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
6001,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
4059,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Liability,0
4147,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
4653,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
9420,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
8157,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
10096,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
1611,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
4016,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
9432,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
14283,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
72,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
1064,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
10089,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
8085,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,0
1946,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
9905,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
3281,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
14761,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
3391,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
2128,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
664,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
5055,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
14519,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
4109,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
437,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
9859,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
5586,more than 30,none,7 years,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
10197,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,0
12300,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,3 to 4,1996,All Perils,0
9477,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
12948,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12827,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
9353,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Liability,0
10136,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
185,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
1579,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
14692,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,0
10742,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1995,Collision,0
5709,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
1099,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
15172,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
2507,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,0
12166,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
11432,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
11096,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
14158,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,0
11450,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,1
8823,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,Collision,0
13166,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
3035,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
9330,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
1313,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
12723,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,1
10692,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
12718,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
7936,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
15106,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,1 year,1 vehicle,1996,Collision,1
10511,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
13332,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
14563,more than 30,none,6 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1996,Collision,0
3583,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
24,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,All Perils,0
4253,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0
10533,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
9060,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
9295,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
1202,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
2350,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
4360,more than 30,none,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1
8493,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,1 to 2,no change,1 vehicle,1995,Collision,0
6507,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
10486,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
2538,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
10773,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,All Perils,0
4435,more than 30,none,3 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
3348,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,0
13146,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability,0
1740,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
13980,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,0
7794,more than 30,none,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision,0
262,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
4559,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
2003,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1
3504,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
14590,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
5245,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
3900,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
11459,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
13666,more than 30,none,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
2581,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
5656,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
10246,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
5380,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
10599,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
11767,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,3 to 4,1996,Collision,0
1406,more than 30,1,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
5556,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
11950,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9798,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
73,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
5769,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
8201,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
11811,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
4770,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
582,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
10775,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
1026,more than 30,2 to 4,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision,0
10286,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
12106,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
15071,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
5612,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
3283,more than 30,1,7 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
6741,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Liability,0
5093,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
12897,15 to 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
13869,more than 30,none,5 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
715,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
11382,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability,0
8797,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
11850,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
14516,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9533,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
3362,more than 30,none,7 years,31 to 35,No,No,External,none,no change,3 to 4,1994,All Perils,0
13015,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
2119,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
15272,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
3371,more than 30,more than 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
6395,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
6788,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
11277,more than 30,2 to 4,new,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Collision,0
8977,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
6132,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,0
14947,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
14567,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
8039,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
2349,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
1926,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0
12595,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
7618,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,1
10946,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
3577,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
8018,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
224,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
1851,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
5712,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils,0
11636,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
5730,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
14751,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
914,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
8545,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
8053,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
7088,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
13741,more than 30,none,6 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1996,Liability,0
3475,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
2917,more than 30,1,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
13554,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
10829,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,1 year,1 vehicle,1995,All Perils,0
13252,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
8609,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
10186,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
9413,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
12790,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
3024,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,0
4822,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0
1343,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
2844,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
11584,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,0
8605,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
2970,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
3258,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1
11981,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,1
12776,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
1418,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1
11384,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
2505,more than 30,1,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
2456,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
12153,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
4462,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1
11430,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
8844,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
12532,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
2640,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
6650,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
13188,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability,0
10335,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,1
7080,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
3637,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
8819,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
4168,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
12406,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
12379,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
4052,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
14623,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9659,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
4023,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
